description,brand,price,website,search_term,scrape_timestamp
Bebida de Aloe BIO Botella 500ml,BIO,S/ 3.60,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Energizante VOLT Dark Botella 300ml,VOLT,S/ 2.49,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante GATORADE Naranja Botella 600ml,GATORADE,S/ 5.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa FANTA Naranja Lata 350ml,FANTA,S/ 6.90,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Rehidratante SUEROX Frutos Rojos Botella 630ml,SUEROX,S/ 6.50,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Energizante RED BULL Sugar Free Lata 250ml,RED BULL,S/ 7.80,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Energizante RED BULL Lata 250ml,RED BULL,S/ 7.80,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Energizante RED BULL Red Edition Lata 250ml,RED BULL,S/ 7.80,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Bebida Instantánea en Polvo CLIGHT Fresa Sobre 7g,CLIGHT,S/ 2.30,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
Gaseosa SEVEN UP Sabor Lima Limón Botella 355ml,SEVEN UP,S/ 1.00,vivanda,BEBIDAS GASEOSAS,2024-12-04 02:21:04.546565
