description,brand,price,website,search_term,scrape_timestamp
Turrón SAN JOSÉ de Doña Pepa Paquete 500g,SAN JOSE,S/ 18.30,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Agua sin Gas SAN LUIS Sabor Limón Botella 625ml,SAN LUIS,S/ 2.20,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Agua Mineral SAN LUIS sin Gas Botella 2.5L Paquete 6un,SAN LUIS,S/ 14.90,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pack Jamón Sándwich + Queso Edam SAN FERNANDO Bolsa 338g,SAN FERNANDO,S/ 14.90,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Jamón de Pavita SAN FERNANDO Paquete 100g,SAN FERNANDO,S/ 5.50,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Medallón de Pavita SAN FERNANDO Congelado,SAN FERNANDO,S/ 23.30,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Filete Pierna Pollo con Piel Empacada al Vacío SAN FERNANDO,SAN FERNANDO,S/ 21.90,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pechuga de Pavita en Trozos SAN FERNANDO Congelado,SAN FERNANDO,S/ 17.90,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Agua con Gas SAN LUIS Sabor a Manzana Botella 625ml,SAN LUIS,S/ 2.20,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Jamón de Pechuga Natural de Pavita SAN FERNANDO,SAN FERNANDO,S/ 14.23,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Pierna Especial de Pollo Empacada al Vacío SAN FERNANDO,SAN FERNANDO,S/ 16.30,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Galletas Animalitos SAN JORGE Bolsa 500g,SAN JORGE,S/ 5.50,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Fideo Chino SAN SEN Paquete 500g,SAN SEN,S/ 5.49,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Sparkling Beverage SAN PELLEGRINO Clementina Lata 330ml,SAN PELLEGRINO,S/ 7.50,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Agua Saborizada SAN PELLEGRINO Essenza Sabor a Mandarina y Fresa Lata 330ml,SAN PELLEGRINO,S/ 8.00,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Agua San Luis sin Gas Botella 1L,SAN LUIS,S/ 2.20,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Alitas Maceradas Buffalo SAN FERNANDO Paquete 1kg,SAN FERNANDO,S/ 24.00,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Alitas Maceradas Orientales SAN FERNANDO Paquete 1kg,SAN FERNANDO,S/ 24.00,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Gran Panetón SAN JORGE Caja 1.5Kg,SAN JORGE,S/ 38.00,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Panceta en Tiras con Hueso y con Piel SAN FERNANDO,SAN FERNANDO,S/ 37.70,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
Gran Panetón SAN JORGE Caja 900g,SAN JORGE,S/ 28.10,vivanda,PAN CARACOL,2024-12-03 23:18:48.022958
