brand,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
RICOCAN,Comida para perros cachorros pequeñas sabor carne y leche de 3 kg,S/ 33.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,3.0,kg,Comida para perros cachorros pequeñas sabor carne y leche de,33.5
SUPERCAN,Comida para perros adultos pequeños sabor carne y cereales de 3 kg,S/ 28.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,3.0,kg,Comida para perros adultos pequeños sabor carne y cereales de,28.5
CAT CHOW,Alimento para Gatos Adulto sabor Carne en bolsa de 1 kg,S/ 26.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,1.0,kg,Alimento para Gatos Adulto sabor Carne en bolsa de,26.5
THOR,Comida para perros adultos sabor carne hígado y cereales de 2 kg,S/ 16.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,2.0,kg,Comida para perros adultos sabor carne hígado y cereales de,16.9
MIMASKOT,Comida para perros adultos pequeños sabor carne pollo y cereales de 3 kg,S/ 29.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,3.0,kg,Comida para perros adultos pequeños sabor carne pollo y cereales de,29.9
RICOCAN,Comida para perros cachorros raza mediana y grande de carne y leche 1 kg,S/ 12.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,1.0,kg,Comida para perros cachorros raza mediana y grande de carne y leche,12.9
PURINA,Alimento Seco Gato Gati Adulto Carne Y Pollo A La Jardinera x 1 Kg,S/ 16.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,1.0,kg,Alimento Seco Gato Gati Adulto Carne Y Pollo A La Jardinera x,16.9
DOG CHOW,Alimento húmedo para perros Cachorros todos los tamaños con Carne 100 gr,S/ 4.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,100.0,g,Alimento húmedo para perros Cachorros todos los tamaños con Carne r,4.5
SUPERCAN,Comida para perros adultos medianos y grandes sabor carne y cereales de 15 kg,S/ 107.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,15.0,kg,Comida para perros adultos medianos y grandes sabor carne y cereales de,107.5
PURINA ONE,Alimento para perro Cachorros sabor pollo y carne en bolsa de 2 kg,S/ 57.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,2.0,kg,Alimento para perro Cachorros sabor pollo y carne en bolsa de,57.9
RICOCAN,Estofado Sabor Carne Adulto Razas Medianas y grandes Lata 290 Gr,S/ 6.50,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,290.0,g,Estofado Sabor Carne Adulto Razas Medianas y grandes Lata r,6.5
RICOCAN,Comida para perros cachorros medianos y grandes sabor carne y cereales 8 kg,S/ 69.90,tottus,CARNE DE CARNERO,2024-12-07 12:55:58.320767,8.0,kg,Comida para perros cachorros medianos y grandes sabor carne y cereales,69.9
