Distrito,Establecimiento,Dirección,Teléfono,Precio de Venta (Soles por galón),Departamento,Provincia,Producto,Fecha,Precio
CARABAYLLO,GRIFO PUNCHAUCA E.I.R.L.,CARRETERA LIMA - CANTA KM. 25,995420644,13.45,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.45
CARABAYLLO,ADMINISTRACION DE GRIFOS L&L ONE S.A.C.,"MZ 1-B, LOTE 02 SUB PARCELA 1-E (3ERA ETAPA) NUEVA URBANIZACION TORRE BLANCA",958901549,13.46,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.46
CARABAYLLO,INVERSIONES SCOTT S.A.C.,"AV. CONDORCANQUI MZ. R, LOTE 19, URB. SANTO DOMINGO 1RA ETAPA",943731054,13.47,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.47
CARABAYLLO,MULTISERVICIOS & LUBRICENTRO SR DE HUAMANTANGA EIRL,"UNIDAD CATASTRAL 12114, PARCELA 22, SECTOR A, FUNDO PUENTE PIEDRA",994294411/923503696,13.48,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.48
CARABAYLLO,GRUPO HBL S.A.C.,"AV. CAMINO REAL MZ. C, LOTE 1, AA.HH. ASOCIACION DE POBLADORES EL BOSQUE DE CARABAYLLO",,13.49,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.49
CARABAYLLO,OPERADOR DE SERVICIOS VJ SAC,"SUB. LOTE N° 1, DE LA PARCELA 60, COOPERATIVA AGRARIA DE USUARIOS MARIA PARADO DE BELLIDO - KM. 28 CARRETERA LIMA- CANTA",015251243/947958641/996209624,13.49,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.49
CARABAYLLO,SERVICENTRO SATO E.I.R.L.,"AV. LAS LOMAS DE CARABAYLLO (VÍA PERIURBANA TRAMO I-C), MZ. A, LOTE 01 - ASOCIACIÓN AGROPECUARIA LOS PALOMARES",017196166/942132588/993503534,13.49,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.49
CARABAYLLO,PETROLEOS Y DERIVADOS LIMA S.A.C.,MZ 'G' LTE 7 ALT. KM 33.50 CARRETERA LIMA - CANTA,,13.5,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.5
CARABAYLLO,EE.SS BERLIS E.I.R.L PETROPERU,CARRETERA A CANTA KM 35 (PROLONGACION AVENIDA TUPAC AMARU) COOPERATIVA MARIA PARADO DE BELLIDO PARCELA 29 - CENTRO POBLADO DE CHOCAS,945904824,13.5,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.5
CARABAYLLO,ESTACION DE SERVICIOS VILLA RICA S.R.L.,"ESQUINA DE LA AV. LOMAS DE CARABAYLLO - AV. VILLA RICA MZ. A, LOTES 1 Y 2 AAHH. ASOCIACION AGROPECUARIA VILLA RICA",017636127/990004313,13.5,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.5
CARABAYLLO,ESTACION DE SERVICIOS VIRREY E.I.R.L.,"MZ. A, LOTE 1, 2, 23 Y 24 DE PARAISO DE SAN LORENZO",,13.59,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.59
CARABAYLLO,SERVICIOS Y GRIFOS CAMARENA S.A.,"ESQ. AV. UNIVERSITARIA Y AV. RIO CHILLON (CALLE CAMINO REAL), MZ. Q LOTE 01, URB. PROGRESIVA SANTA ROSA",,13.59,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.59
CARABAYLLO,CONSORCIO 3 DE AGOSTO S.A.C.,"MANZANA E2, LOTE 10 DEL CENTRO POBLADO LOS HUERTOS DEL RIO SECO, VALLE DE MALA",,13.65,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.65
CARABAYLLO,ANCO GAS S.A.C.,"AV. CAMINO REAL N° 741, FUNDO CASA HUERTA CHACRA GRANDE UNIDAD CATASTRAL 11657",,13.69,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.69
CARABAYLLO,ADMINISTRACION DE GRIFOS LYLONE SAC,"AV. UNIVERSITARIA CRUCE CON AV. MANUEL PRADO MZ. B LOTE 04,05,06,07 Y 08 PROGRAMA DE VIVIENDA SANTA ROSA",936537736,13.69,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.69
CARABAYLLO,INVERSIONES VALUEMI S.A.C.,"A.H. PROYECTO INTEGRAL ALIANZA INDUSTRIAL DE LAS LOMAS MZ. C LOTE 5 - SECTOR CRUZ DEL NORTE 1, ZONA BAJA",943465770/987665153,13.7,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.7
CARABAYLLO,ESTACION SANTA MARIA S.A.C.,URB. SANTA MARIA 5TA ETAPA MZ. C-1 LOTE 01,960577395/947271993,13.79,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.79
CARABAYLLO,GRUPO E & E S.A.C.,"LOTES 7 Y 8 DE PUNCHAUCA, CAUDIVILLA Y ANEXO CONCON Y HUACOY ( AV. TUPAC AMARU KM. 22.50)",981999588,13.86,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.86
CARABAYLLO,SERVICIOS GAIA S.A.C.,"AV. TUPAC AMARU, ALTURA KM. 23 CARRETERA CANTA",,13.89,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.89
CARABAYLLO,COMBUSTIBLES SELECTOS S.A.C.,"MZ. 29 LTS. 11,14,15,16,17 Y 18 NUEVA URBANIZACION TORRE BLANCA 2DA ETAPA",989599589/992509216,13.89,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.89
CARABAYLLO,KALPU SAC,"URB. SANTO DOMINGO 6TA ETAPA MZ L-2 LTS 25, 26, 27, 28, 29, 30",015918292/989599589/947578366,13.89,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.89
CARABAYLLO,YURI EFRAIN ALVAREZ PEREZ,AV UNIVERSITARIA S/N MZ. A LOTE 15 Y 16 PROG. DE VIVIENDA LAS MERCEDES,926600265/947383869,13.89,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.89
CARABAYLLO,AGAR INVERSIONES & SERVICIOS SAC,AV. MANUEL PRADO N° 816,,13.98,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.98
CARABAYLLO,SAN ANTONIO INVERSIONES GENERALE S.R.L,AV. TUPAC AMARU KM. 22. CARRETERA A CANTA - ASOCIACION LOS ROSALES DE CHILLON,971342435/998615762,13.99,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.99
CARABAYLLO,GRIFO DENNIS S.A.C.,AV.TUPAC AMARU N° 3590. AA.HH EL PROGRESO,015742750/015472251,13.99,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.99
CARABAYLLO,TORRE BLANCA INVERSIONES GENERALES SRL,"CARRETERA LIMA - CANTA KM. 23, PARCELA 283 (EX-FUNDO CAUDEVILLA - HUACOY PUNCHAUCA)",017149453/933963013/998615762,13.99,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.99
CARABAYLLO,BECSABETH ROSALIA VILCAPOMA VELAZCO DE FLORES,PARCELA 6 COOPERATIVA AGRARIA MARIA PARADO DE BELLIDO,986408747,13.99,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.99
CARABAYLLO,GASORED,"MZ. A, LOTES 65, 66, 1, URBANIZACIÓN TUNGASUCA",972053241,13.99,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.99
CARABAYLLO,INVERSIONES GOLD STAR EIRL,AV. TUPAC AMARU KM. 17.5 MZ. B1 LT. 1-3 ASOC. DE VIVIENDA SANTA ROSA DE PUNCHAUCA,943731054/948368476,13.99,LIMA,LIMA,DB5 S-50 UV,2025-11-22,13.99
CARABAYLLO,AERO GAS DEL NORTE S.A.C.,"LOTES 7, 8, 9 Y 10, MZ. A6, URB. SAN ANTONIO DE CARABAYLLO 3",946059512,14.59,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.59
CARABAYLLO,AERO GAS DEL NORTE SAC,AV.UNIVERSITARIA INTERSECCION CON AV. ISABEL CHIMPU OCLLO,946059512,14.59,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.59
CARABAYLLO,ANCO GAS S.A.C.,"AV. CONDORCANQUI Nº 1294, URB. SANTO DOMINGO, 5TA ETAPA",995998404,14.99,LIMA,LIMA,DB5 S-50 UV,2025-11-22,14.99
CARABAYLLO,REPSOL COMERCIAL S.A.C.,"AV. TUPAC AMARU KM.16,5",014410978/012216832,18.99,LIMA,LIMA,DB5 S-50 UV,2025-11-22,18.99
