Market_name,Category_name,Product_name,Product_description,Product_unit_type,Product_quantity,Product_price,Product_branch,Scrape_timestamp,website
Pedidos Ya Lince,Abarrotes,Barras De Cereal Almendra Cereal Bar Costa 21Gr,"Origen: Nacional Barra de cereales (trigo, arroz, avena) con almendra y trozos de maníContiene: 12 unidades",g,21.0,11.9,Costa,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Leche Condensada Nestlé Lata 100G,,g,100.0,4.2,Nestle,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Azúcar Rubia Dulfina Bolsa 5 kg,,kg,5.0,22.9,Dulfina,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Azucar Costeño Blanca 1 kg,,kg,1.0,7.5,Costeño,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Frijol Panamito Costeño Bosa 500 g,Contiene 500 gramos,g,500.0,8.0,Costeño,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Garbanzos Costeño Bolsa 500 g,Contiene 500 gramos,g,500.0,6.9,Costeño,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Barras De Cereal Con Mani Cereal Bar Costa 21Gr,"Barra de cereales (trigo, arroz, avena) con maní en trozos y en pasta.Con cobertura sabor a chocolate.Contenido: 12 unidades",g,21.0,11.94,Costa,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Arroz Superior Costeño Bolsa 750G,,g,750.0,4.5,Costeño,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Frijol Negro Costeño Bolsa 500 g,,g,500.0,8.0,Costeño,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Mayonesa Alacena 190G,Contiene 190 gramos.Salsa de mesa.Con un toque de limón,g,190.0,9.5,A La Cena,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Frijol Canario COSTEÑO Bolsa 500g,Contiene 500 gramos,g,500.0,11.5,Costeño,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Papa Seca Costeño 500gr,,g,500.0,8.5,Costeño,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Sopa Instantánea Sabor a Gallina Ajinomen Vaso 51 g,,g,51.0,3.8,Aji-No-Men,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Cereal Fitness Nestle Honey & Almond Cer 330G,"Contiene 330 gramos.Cereal para el desayuno a base de trigo integral, arroz, maíz, avena integral y almendras.Con sabor a miel.Sin azúcar añadida.Buena fuente de fibra",g,330.0,21.9,Nestle,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Costeño Azúcar Rubia 1kg,,kg,1.0,6.9,Costeño,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Pallar Costeño Bolsa 500 g,,g,500.0,8.2,Costeño,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Azúcar Blanca Dulfina Bolsa 1 kg,,kg,1.0,6.5,Dulfina,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Mermelada Fanny Fresa Doy Pack 227 G,,g,227.0,4.5,Fanny,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Harina de Arroz Costeño 1 g,,kg,1.0,9.9,Costeño,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Frijol Red Kidney Costeño 500gr,,g,500.0,8.9,Costeño,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Lentejón Costeño Bolsa 500 g,,g,500.0,7.6,Costeño,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Sazonador Costeño Pops sabor Queso 64g,,g,64.0,10.5,Costeño,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Azúcar Rubia Cartavio Bolsa 5 kg,,kg,5.0,22.9,Cartavio,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Sopa Instantánea Ajinomen Oriental 80gr,,g,80.0,2.1,Aji-No-Men,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Sopa Instantanea Con Fideos Aji-No-Men Sabor Carne 80Gr,Contiene 80 gramos.Sopa instantánea con fideos.Sabor: Carne.Rinde 2 porciones,g,80.0,2.1,Aji-No-Men,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Granola con Miel de Abeja Unión Doypack 400 g,,g,400.0,15.5,Union,2024-12-09 02:20:17.246573,Pedidos Ya
Pedidos Ya Lince,Abarrotes,Sal de Mesa Marina Emsal Bolsa 1 kg,,kg,1.0,2.9,Emsal,2024-12-09 02:20:17.246573,Pedidos Ya
