Market_name,Category_name,Product_name,Product_description,Product_price,Scrape_timestamp,Product_unit_type,Product_quantity,Product_branch
Pedidos Ya Lince,Abarrotes,Fideo Tallarin Molitalia 450 g,Contiene 450 gramos.Tallarín de rápida cocción.Elaborado con ingredientes de calidad.Naturalmente alto en proteínas,3.6,2024-12-04 02:14:47.299084,g,450.0,Molitalia
Pedidos Ya Lince,Abarrotes,Salsa A La Bolognesa Molitalia 370g,Contiene 370 gramos.Salsa de tomates con carne y verduras.Elaborada con al menos 6 tomates,7.2,2024-12-04 02:14:47.299084,g,370.0,Molitalia
Pedidos Ya Lince,Abarrotes,Mayonesa AlaCena Doypack 475 g,"Deliciosa y potente Mayonesa 500 g, perfecta para añadir a tus platos favoritos. Elaborada con selectos y naturales ingredientes.",14.9,2024-12-04 02:14:47.299084,ml,500.0,A La Cena
Pedidos Ya Lince,Abarrotes,Molitalia Caracol Chico Molitalia 235 Gr,,2.5,2024-12-04 02:14:47.299084,g,235.0,Molitalia
Pedidos Ya Lince,Abarrotes,Fideo Don Vittorio Spaghetti 450 g,Contiene 450 gramos.Pasta de trigo.Tipo: Spaghetti,4.9,2024-12-04 02:14:47.299084,g,450.0,Don Vittorio
Pedidos Ya Lince,Abarrotes,Barras De Cereal Chips Cereal Bar Costa 21 Gr.,Contiene 12 barras barras de cereal.Sabor chispas de chocolate.Contenido: 252 g,7.2,2024-12-04 02:14:47.299084,g,21.0,Costa
Pedidos Ya Lince,Abarrotes,Molitalia Codo Ray Mediano Molitalia 235 Gr,,2.5,2024-12-04 02:14:47.299084,g,235.0,Molitalia
Pedidos Ya Lince,Abarrotes,Pasta Corta Tornillo Bolsa 500 g,,3.4,2024-12-04 02:14:47.299084,g,500.0,Molitalia
Pedidos Ya Lince,Abarrotes,Sirope Laive Sabor A Maple 355 mL,,10.9,2024-12-04 02:14:47.299084,ml,355.0,Laive
Pedidos Ya Lince,Abarrotes,Fideo Letras Molitalia 235 g,,2.5,2024-12-04 02:14:47.299084,g,235.0,Molitalia
Pedidos Ya Lince,Abarrotes,Fideo Rigatoni Molitalia 235 g,,2.5,2024-12-04 02:14:47.299084,g,235.0,Molitalia
Pedidos Ya Lince,Abarrotes,Pasta Corta Macarrón Bolsa 500 g,,3.4,2024-12-04 02:14:47.299084,g,500.0,Molitalia
Pedidos Ya Lince,Abarrotes,Sémola Molitalia 200Gr,,2.1,2024-12-04 02:14:47.299084,g,200.0,Molitalia
Pedidos Ya Lince,Abarrotes,Molitalia Canuto Molitalia 235 Gr,,2.5,2024-12-04 02:14:47.299084,g,235.0,Molitalia
Pedidos Ya Lince,Abarrotes,Quinua Costeño Bolsa 500G,,10.9,2024-12-04 02:14:47.299084,g,500.0,Costeño
Pedidos Ya Lince,Abarrotes,Mermelada Fresa Vaso Fanny 290 Gr,,5.9,2024-12-04 02:14:47.299084,g,290.0,Fanny
Pedidos Ya Lince,Abarrotes,Arroz Añejo Extra Costeño 750 g,Contiene 750 gramos.Arroz añejado.Variedad: Extra,4.7,2024-12-04 02:14:47.299084,g,750.0,Costeño
Pedidos Ya Lince,Abarrotes,Fideo Linguine Molitalia 450 g,,3.6,2024-12-04 02:14:47.299084,g,450.0,Molitalia
Pedidos Ya Lince,Abarrotes,Pack 2 Spaghetti Molitalia 950 g,,13.8,2024-12-04 02:14:47.299084,g,950.0,Molitalia
Pedidos Ya Lince,Abarrotes,Pack Jamón Sándwich 230 g + Queso Edam 108 g San Fernando 1 unidad,,14.9,2024-12-04 02:14:47.299084,un,1.0,San Fernando
Pedidos Ya Lince,Abarrotes,Lenteja Costeño Bolsa 500G,,8.0,2024-12-04 02:14:47.299084,g,500.0,Costeño
Pedidos Ya Lince,Abarrotes,Pack 2 Arroz Extra Costeño Bolsa 750 g,,10.4,2024-12-04 02:14:47.299084,g,750.0,Costeño
Pedidos Ya Lince,Abarrotes,Arveja Verde COSTEÑO Bolsa 500g,,4.9,2024-12-04 02:14:47.299084,g,500.0,Costeño
Pedidos Ya Lince,Abarrotes,Gelatina Laive Sabor Piña Yopi 120G,,2.5,2024-12-04 02:14:47.299084,g,120.0,Laive
Pedidos Ya Lince,Abarrotes,Gelatina Laive Sabor Fresa Yopi Fourpack 120G,,9.2,2024-12-04 02:14:47.299084,g,480.0,Laive
Pedidos Ya Lince,Abarrotes,Sopa Instantanea Con Fideos Aji-No-Men Sabor Pollo 80Gr,,2.1,2024-12-04 02:14:47.299084,g,80.0,Aji-No-Men
