unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Bolsa 3Kg,Comida para Perros DOG CHOW Adultos razas Medi...,S/ 49.50 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,3.0,kg,Comida para Perros DOG CHOW Adultos razas Medi,49.5
Lata 190g,Comida para Perros SUPERCAT Cachorro Todas las...,S/ 3.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,190.0,g,Comida para Perros SUPERCAT Cachorro Todas las,3.9
Caja 46.7g,NERDS Grape & Strawberry Paquete 46.7g,S/ 7.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,46.7,g,NERDS Grape & Strawberry Paquete,7.9
Bandeja 1un,Torta de Chocolate Grande LA FLORENCIA 1un,S/ 64.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,1.0,un,Torta de Chocolate Grande LA FLORENCIA,64.9
Bolsa 3Kg,Comida para Perros MIMASKOT Adulto Razas Media...,S/ 29.50 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,3.0,kg,Comida para Perros MIMASKOT Adulto Razas Media,29.5
Lata 345g,Conserva de Betarraga BELL'S Lata 345g,S/ 6.50 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,345.0,g,Conserva de Betarraga BELL'S Lata,6.5
Bolsa 12Kg,Alimento para Perro PURINA One Adultos Mediano...,S/ 222 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,12.0,kg,Alimento para Perro PURINA One Adultos Mediano,222.0
Bolsa 15Kg,Comida para Perros MIMASKOT Cachorros Razas Me...,S/ 99.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,15.0,kg,Comida para Perros MIMASKOT Cachorros Razas Me,99.9
Bolsa 3Kg,Comida para Perros RICOCAN Cachorros Razas Med...,S/ 33.50 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,3.0,kg,Comida para Perros RICOCAN Cachorros Razas Med,33.5
Bandeja 1un,Torta de Guanábana Grande LA FLORENCIA 1un,S/ 69.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,1.0,un,Torta de Guanábana Grande LA FLORENCIA,69.9
Lata 155g,Conserva de Pechuga de Pavo ALDELÍS en Agua y ...,S/ 8.40 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,155.0,g,Conserva de Pechuga de Pavo ALDELÍS en Agua y,8.4
Botella 275ml,Ready To Drink (RTD) PISCANO Chilcano Naranja ...,S/ 5.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,275.0,ml,Ready To Drink (RTD) PISCANO Chilcano Naranja,5.9
Lata 355ml,Ready To Drink (RTD) PISCANO Chilcano Maracuyá...,S/ 5.90 un,plaza_vea,GRATED DE PESCADO EN CONSERVA,2024-12-05 14:59:25.015249,355.0,ml,Ready To Drink (RTD) PISCANO Chilcano Maracuyá,5.9
