unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Pote 56.7g,Pimienta Entera BADIA Molinillo Pote 56.7g,S/ 14.10 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,56.7,g,Pimienta Entera BADIA Molinillo Pote,14.1
Sobre 15g,Ají panca BELL'S Molido Sobre 15Gr,S/ 1.59 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,15.0,g,Ají panca BELL'S Molido Sobre r,1.59
Sobre 15g,Pimienta Blanca Molida BELL'S Sobre 15g,S/ 3.10 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,15.0,g,Pimienta Blanca Molida BELL'S Sobre,3.1
Frasco 56.7g,Pimentón BADIA en Polvo Frasco 56.7g,S/ 9.50 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,56.7,g,Pimentón BADIA en Polvo Frasco,9.5
Doypack 200g,Ají WALIBI Criollo Doypack 200Gr,S/ 7.60 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,200.0,g,Ají WALIBI Criollo Doypack r,7.6
Botella 750ml,Anís NAJAR Semi Dulce Especial Botella 750ml,S/ 36.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,750.0,ml,Anís NAJAR Semi Dulce Especial Botella,36.9
Botella 60ml,Salsa TABASCO Picante con ajíes rojos Botella ...,S/ 16.20 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,60.0,ml,Salsa TABASCO Picante con ajíes rojos Botella,16.2
Sobre 24g,Sazonador SIBARITA Ajos Sobre 24g,S/ 1.79 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,24.0,g,Sazonador SIBARITA Ajos Sobre,1.79
Frasco 215g,Ajo Molido BELL’S Frasco 215g,S/ 9.50 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,215.0,g,Ajo Molido BELL’S Frasco,9.5
Botella 750ml,Anís NAJAR Seco Especial Botella 750ml,S/ 36.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,750.0,ml,Anís NAJAR Seco Especial Botella,36.9
Frasco 127.6g,Sal BADIA Ajo Frasco 127.60Gr,S/ 9.40 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,127.6,g,Sal BADIA Ajo Frasco r,9.4
Doypack 1kg,Ají Amarillo Molido PIKI Doypack 1Kg,S/ 21.99 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,1.0,kg,Ají Amarillo Molido PIKI Doypack,21.99
Frasco 49.6g,Pimienta BADIA Roja cayenne Frasco 49.60g,S/ 9.40 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,49.6,g,Pimienta BADIA Roja cayenne Frasco,9.4
Botella 750ml,Anís NAJAR Crema Especial Botella 750ml,S/ 41.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,750.0,ml,Anís NAJAR Crema Especial Botella,41.9
Paquete 297.7g,Ajo en Polvo BADIA Paquete 297.70g,S/ 29.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,297.7,g,Ajo en Polvo BADIA Paquete,29.9
Frasco 240g,Dip de Hummus con Ajo CASA VERDE Frasco 240g,S/ 11.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,240.0,g,Dip de Hummus con Ajo CASA VERDE Frasco,11.9
Frasco 198.4g,Pimienta Negra BADIA en Polvo Frasco 198.4g,S/ 29.90 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,198.4,g,Pimienta Negra BADIA en Polvo Frasco,29.9
Sobre 15g,Pimentón KARIÑO Paprika Sobre 15Gr,S/ 4.20 un,plaza_vea,AJÍ PIMIENTO,2024-12-07 14:03:21.519444,15.0,g,Pimentón KARIÑO Paprika Sobre r,4.2
