description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Yogurt GLORIA Battimix Vainilla con Arroz Crujiente Bañado en Chocolate Vaso 146g,GLORIA,146.0,g,3.6,vivanda,2024-12-07 14:13:33.804837,YOGUR MIXTO EN VASO,146.0,g,3.6,YOGUR MIXTO EN VASO
Yogurt Frutado DANLAC Fresa Frasco 160g,,160.0,g,4.2,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,160.0,g,4.2,YOGUR MIXTO EN VASO
Yogurt Griego Vakimu Mango Pasión 160g,,160.0,g,4.4,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,160.0,g,4.4,YOGUR MIXTO EN VASO
Yogurt Vakimu +Pro Fresa 160g,,160.0,g,4.79,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,160.0,g,4.79,YOGUR MIXTO EN VASO
Yogurt Vakimu +Pro Arándano 160g,,160.0,g,4.88,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,160.0,g,4.88,YOGUR MIXTO EN VASO
Yogurt Frutado Danlac Maracumango 160g,,160.0,g,4.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,160.0,g,4.9,YOGUR MIXTO EN VASO
Yogurt Frutado con Frutos del Bosque Danlac 160g,,160.0,g,4.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,160.0,g,4.9,YOGUR MIXTO EN VASO
Yogurt Frutado con Frutos del Bosque Danlac 160g,,160.0,g,4.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,160.0,g,4.9,YOGUR MIXTO EN VASO
Yogurt Frutado con Fresa Danlac 160g,,160.0,g,4.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,160.0,g,4.9,YOGUR MIXTO EN VASO
Yogurt Frutado con Fresa Danlac 160g,,160.0,g,4.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,160.0,g,4.9,YOGUR MIXTO EN VASO
Yogurt Griego Danlac Sabor Natural Frasco 160g,,160.0,g,4.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,160.0,g,4.9,YOGUR MIXTO EN VASO
Yogurt Frutado Danlac Maracumango 160g,,160.0,g,4.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,160.0,g,4.9,YOGUR MIXTO EN VASO
Yogurt Premium Tigo Light Fresa Vaso 160 g,,160.0,g,5.2,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,160.0,g,5.2,YOGUR MIXTO EN VASO
Yogurt Premium Tigo Light Natural Vaso 160 g,,160.0,g,5.2,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,160.0,g,5.2,YOGUR MIXTO EN VASO
Yogurt Bebible Laive Sbelt Sabor Fresa 946g,,946.0,g,5.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible Laive Sin Lactosa Fresa 946g,,946.0,g,5.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible Laive Sin Lactosa Sabor Vainilla Francesa 946g,,946.0,g,5.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible Gloria Fresa Botella 1kg,,1.0,kg,5.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,1.0,kg,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible Laive Sbelt Sabor Vainilla Francesa 946g,,946.0,g,5.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible Gloria Natural Botella 1kg,,1.0,kg,5.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,1.0,kg,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible Laive Sbelt Sabor Lúcuma 946g,,946.0,g,5.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible Laive Sbelt Sabor Mora 946g,,946.0,g,5.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible Laive Sabor Vainilla Francesa 946g,,946.0,g,5.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible Laive Sbelt Sabor Fresa 946g,,946.0,g,5.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible Laive Sabor Mango 946g,,946.0,g,5.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible Laive Sabor Lúcuma 946g,,946.0,g,5.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Probiótico Laive Sbelt Granadilla y Linaza 946g,,946.0,g,5.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible Laive Sabor Mora 946g,,946.0,g,5.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible Laive Sbelt Sabor Vainilla Francesa 946g,,946.0,g,5.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Probiótico Laive Sbelt Granadilla y Linaza 946g,,946.0,g,5.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible Laive Sin Lactosa Durazno 946g,,946.0,g,5.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible Laive Sbelt Sabor Lúcuma 946g,,946.0,g,5.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible Laive Sbelt Natural 946g,,946.0,g,5.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,946.0,g,5.9,YOGUR MIXTO EN VASO
Yogurt Bebible GLORIA sin Lactosa Fresa Botell...,,1.0,kg,5.99,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,1.0,kg,5.99,YOGUR MIXTO EN VASO
Yogurt Bebible Gloria Tutti Frutti Botella 1kg,,1.0,kg,5.99,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,1.0,kg,5.99,YOGUR MIXTO EN VASO
Yogurt Bebible Gloria Fresa Botella 1kg,,1.0,kg,5.99,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,1.0,kg,5.99,YOGUR MIXTO EN VASO
Yogurt Bebible Gloria Lúcuma Botella 1kg,,1.0,kg,5.99,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,1.0,kg,5.99,YOGUR MIXTO EN VASO
Yogurt Bebible Gloria Slim Vainilla Botella 1kg,,1.0,kg,5.99,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,1.0,kg,5.99,YOGUR MIXTO EN VASO
Yogurt Bebible Gloria Durazno Botella 1kg,,1.0,kg,5.99,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,1.0,kg,5.99,YOGUR MIXTO EN VASO
Yogurt VAKIMU +Pro Sabor Arándanos Pote 160g,,160.0,g,6.1,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,160.0,g,6.1,YOGUR MIXTO EN VASO
Yogurt Bebible GLORIA Sabor a Vainilla Botella...,,1.0,kg,6.2,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,1.0,kg,6.2,YOGUR MIXTO EN VASO
Yogurt Bebible GLORIA Sabor a Durazno Botella ...,,1.0,kg,6.2,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,1.0,kg,6.2,YOGUR MIXTO EN VASO
Yogurt Bebible GLORIA Sabor a Lúcuma Botella 1...,,1.0,kg,6.2,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,1.0,kg,6.2,YOGUR MIXTO EN VASO
Yogurt Bebible GLORIA Sabor a Fresa Botella 1K...,,1.0,kg,6.2,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,1.0,kg,6.2,YOGUR MIXTO EN VASO
Yogurt GLORIA Natural Botella 1Kg,,1.0,kg,6.2,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,1.0,kg,6.2,YOGUR MIXTO EN VASO
Yogurt SBELT Sabor a Vainilla Botella 946g,,946.0,g,6.29,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,946.0,g,6.29,YOGUR MIXTO EN VASO
Yogurt Bebible LAIVE Bio Sabor a Mora Botella ...,,946.0,g,6.29,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,946.0,g,6.29,YOGUR MIXTO EN VASO
Yogurt LAIVE sin Lactosa Sabor a Vainilla Bote...,,946.0,g,6.29,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,946.0,g,6.29,YOGUR MIXTO EN VASO
Yogurt SBELT Sabor a Lúcuma Botella 946g,,946.0,g,6.29,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,946.0,g,6.29,YOGUR MIXTO EN VASO
Yogurt SBELT Natural Botella 946g,,946.0,g,6.29,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,946.0,g,6.29,YOGUR MIXTO EN VASO
Yogurt Bebible LAIVE Bio Sabor a Fresa Botella...,,946.0,g,6.29,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,946.0,g,6.29,YOGUR MIXTO EN VASO
Yogurt SBELT Sabor a Mora Botella 946g,,946.0,g,6.29,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,946.0,g,6.29,YOGUR MIXTO EN VASO
Yogurt Proteico Sin Lactosa Vakimu +Pro Sabor Mocca 350g,,350.0,g,6.32,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,350.0,g,6.32,YOGUR MIXTO EN VASO
Yogurt Gloria Zero Lacto Fresa 1kg,,1.0,kg,6.7,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,1.0,kg,6.7,YOGUR MIXTO EN VASO
Yogurt Griego La Abuela Vainilla Francesa 150g,,150.0,g,6.8,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,150.0,g,6.8,YOGUR MIXTO EN VASO
Yogurt Griego La Abuela Frambuesa Bajo en Grasa150g,,150.0,g,6.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,150.0,g,6.9,YOGUR MIXTO EN VASO
Yogurt Griego La Abuela Vainilla Francesa Bajo en Grasa 150g,,150.0,g,6.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,150.0,g,6.9,YOGUR MIXTO EN VASO
Yogurt Gloria Griego con Miel 800g,,800.0,g,6.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,800.0,g,6.9,YOGUR MIXTO EN VASO
Yogurt Gloria Griego Sabor Frutos Rojos 800g,,800.0,g,6.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,800.0,g,6.9,YOGUR MIXTO EN VASO
Yogurt Gloria Griego Sabor Natural 800g,,800.0,g,6.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,800.0,g,6.9,YOGUR MIXTO EN VASO
Yogurt Gloria Griego Sabor Frutos Rojos 800g,,800.0,g,6.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,800.0,g,6.9,YOGUR MIXTO EN VASO
Yogurt Griego La Abuela Fresa Bajo en Grasa 150g,,150.0,g,6.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,150.0,g,6.9,YOGUR MIXTO EN VASO
Yogurt Gloria Griego Sabor Maracuyá 800g,,800.0,g,6.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,800.0,g,6.9,YOGUR MIXTO EN VASO
Yogurt Gloria Griego con Miel 800g,,800.0,g,6.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,800.0,g,6.9,YOGUR MIXTO EN VASO
Yogurt Batido GLORIA Griego Sabor Mango Bolsa ...,,800.0,g,7.0,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,800.0,g,7.0,YOGUR MIXTO EN VASO
Yogurt Batido GLORIA Griego con Miel Bolsa 800...,,800.0,g,7.0,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,800.0,g,7.0,YOGUR MIXTO EN VASO
Yogurt Griego Vakimu Fresa 500g,,500.0,g,7.92,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,500.0,g,7.92,YOGUR MIXTO EN VASO
Yogurt Griego Vakimu Mora 500g,,500.0,g,7.92,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,500.0,g,7.92,YOGUR MIXTO EN VASO
Yogurt Bebible Piamonte Vainilla Botella 946 ml,,946.0,ml,8.0,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,946.0,ml,8.0,YOGUR MIXTO EN VASO
Yogurt Griego Cuisine & Co Sabor Natural 500g,,500.0,g,8.3,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,500.0,g,8.3,YOGUR MIXTO EN VASO
Yogurt Batido Laive Griego Sabor Frutos Rojos 800g,,800.0,g,8.5,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,800.0,g,8.5,YOGUR MIXTO EN VASO
Yogurt Batido Natural Laive Griego Botella 800g,,800.0,g,8.5,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,800.0,g,8.5,YOGUR MIXTO EN VASO
Yogurt Batido Laive Griego Sabor Frutos Rojos 800g,,800.0,g,8.5,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,800.0,g,8.5,YOGUR MIXTO EN VASO
Yogurt Batido Laive Griego Sabor Mango Maracuyá 800g,,800.0,g,8.5,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,800.0,g,8.5,YOGUR MIXTO EN VASO
Yogurt Batido Natural Laive Griego Botella 800g,,800.0,g,8.5,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,800.0,g,8.5,YOGUR MIXTO EN VASO
Yogurt Bebible Yoleit con Fresa Botella 1.6kg,,1.6,kg,8.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,1.6,kg,8.9,YOGUR MIXTO EN VASO
Yogurt Bebible Sin Lactosa Yoleit Maracumango 1.6kg,,1.6,kg,8.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,1.6,kg,8.9,YOGUR MIXTO EN VASO
Yogurt Bebible Gloria Fresa Galonera 1.7kg,,1.7,kg,8.9,metro,2024-12-07 20:10:59.331489,YOGUR MIXTO EN VASO,1.7,kg,8.9,YOGUR MIXTO EN VASO
Yogurt Parcialmente Descremado GLORIA Sabor a ...,,1.7,kg,8.9,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,1.7,kg,8.9,YOGUR MIXTO EN VASO
Yogurt GLORIA Parcialmente Descremado Sabor a ...,,1.7,kg,8.9,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,1.7,kg,8.9,YOGUR MIXTO EN VASO
Yogurt Parcialmente Descremado GLORIA Sabor a ...,,1.7,kg,8.9,plaza_vea,2024-12-07 13:40:36.616560,YOGUR MIXTO EN VASO,1.7,kg,8.9,YOGUR MIXTO EN VASO
Yogurt Bebible Sin Lactosa Yoleit Frutos del Bosque 1.6kg,,1.6,kg,8.9,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,1.6,kg,8.9,YOGUR MIXTO EN VASO
Yogurt Bebible Gloria Fresa Galonera 1.7kg,,1.7,kg,9.2,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,1.7,kg,9.2,YOGUR MIXTO EN VASO
Yogurt Bebible Gloria Lúcuma Galonera 1.7kg,,1.7,kg,9.2,wong,2024-12-07 17:16:49.991982,YOGUR MIXTO EN VASO,1.7,kg,9.2,YOGUR MIXTO EN VASO
