description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Sal Rosada de Maras Fina Frasco 400 g,,400.0,g,19.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,49.75,SAL
Sales y Especias Go Barman Micheladas & Tequila 90g,,90.0,g,19.9,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,221.1111111111111,SAL
Sales y Especias Go Barman Margarita & Michelada Lime 90g,,90.0,g,19.9,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,221.1111111111111,SAL
Sales y Especias Go Barman Bloody Mary 90g,,90.0,g,19.9,metro,2024-12-07 22:25:17.025897,SAL,1.0,kg,221.1111111111111,SAL
Salpimienta Culantro y Limón Badia 227g,,227.0,g,20.1,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,88.54625550660793,SAL
Sal Cítrica Badia 198g,,198.0,g,20.8,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,105.05050505050505,SAL
Sal Gruesa Rosada Legendaria Gourmet 400g,,400.0,g,21.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,54.75,SAL
Sal de Maras con Hierbas Aromáticas Gruesa Frasco 400 g,,400.0,g,21.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,54.75,SAL
Sal de Maras Rosada Fina Onza 400g,,400.0,g,22.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,57.25,SAL
Sal de Maras Rosada Gruesa Onza 400g,,400.0,g,22.9,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,57.25,SAL
Sal Amazónica Gourmet Onza 400g,,400.0,g,25.4,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,63.5,SAL
Sal de Maras Gruesa Ahumada Legendaria Frasco 400 g,,400.0,g,26.5,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,66.25,SAL
Sal Rosada en Bloque 4.3 Kg,,4.3,kg,43.4,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,10.093023255813954,SAL
Sal Marina y Trufas Negras Badia 255g,,255.0,g,45.6,wong,2024-12-07 18:06:46.666250,SAL,1.0,kg,178.8235294117647,SAL
