categoria,description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
YOGUR MIXTO EN VASO,Yogurt Batido GLORIA Griego Sabor Natural Vaso 120g,GLORIA,120.0,g,2.2,vivanda,2024-12-04 17:38:10.971729,YOGUR MIXTO EN VASO,120.0,g,2.2,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Gloria Griego con Miel 120g,,120.0,g,2.2,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,120.0,g,2.2,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Gloria Griego Sabor Maracuyá 120g,,120.0,g,2.2,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,120.0,g,2.2,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Gloria Griego Sabor Frutos Rojos 120g,,120.0,g,2.2,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,120.0,g,2.2,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Griego LAIVE Sabor a Frutos Rojos Vaso 115g,LAIVE,115.0,g,2.2,vivanda,2024-12-04 17:38:10.971729,YOGUR MIXTO EN VASO,115.0,g,2.2,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Gloria Griego Sabor Frutos Rojos 120g,,120.0,g,2.2,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,120.0,g,2.2,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible Gloria Sabor Fresa y Plátano 180g,,180.0,g,2.2,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,180.0,g,2.2,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Batido GLORIA Griego Sabor Mango Vaso 1...,,120.0,g,2.2,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,120.0,g,2.2,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Bebible Gloria Fresa Botella 180 g,,180.0,g,2.2,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,180.0,g,2.2,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Batido GLORIA Griego Sabor Maracuyá Vas...,,120.0,g,2.2,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,120.0,g,2.2,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Gloria Griego Sabor Mango 120g,,120.0,g,2.2,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,120.0,g,2.2,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Gloria Zero Lacto Fresa 180g,,180.0,g,2.4,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,180.0,g,2.4,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Gloria Slim Sabor Frutos Rojos Botella 180g,,180.0,g,2.4,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,180.0,g,2.4,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Batido Descremado con Trozos de Fresa Laive Griego Frutado 120g,,120.0,g,2.5,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,120.0,g,2.5,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Batido Descremado con Trozos de Fresa Laive Griego Frutado 120g,,120.0,g,2.5,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,120.0,g,2.5,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Batido con Trozos de Arándano Laive Griego 120g,,120.0,g,2.5,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,120.0,g,2.5,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Batido con Trozos de Durazno Laive Griego Frutado 120g,,120.0,g,2.5,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,120.0,g,2.5,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Gloria Batti Mix Mini Cookies 138g,,138.0,g,2.99,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,138.0,g,2.99,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Gloria Battimix Vainilla 146g,,146.0,g,2.99,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,146.0,g,2.99,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Battimix GLORIA Fresa con Bolitas de Ch...,,146.0,g,3.1,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,146.0,g,3.1,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt GLORIA Battimix Vainilla con Arroz Cruj...,,146.0,g,3.1,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,146.0,g,3.1,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Gloria Griego con Miel 128g,,128.0,g,3.9,wong,2024-12-04 19:13:58.878277,YOGUR MIXTO EN VASO,128.0,g,3.9,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt Gloria Griego con Miel 128g,,128.0,g,3.9,metro,2024-12-04 21:20:00.051296,YOGUR MIXTO EN VASO,128.0,g,3.9,YOGUR MIXTO EN VASO
YOGUR MIXTO EN VASO,Yogurt DANLAC Maracumango Frasco 160g,,160.0,g,4.2,plaza_vea,2024-12-04 13:40:45.769438,YOGUR MIXTO EN VASO,160.0,g,4.2,YOGUR MIXTO EN VASO
