unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Paquete 85g,Alimento para Gato Adulto WHISKAS Pouch de Car...,S/ 3.50 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,85.0,g,Alimento para Gato Adulto WHISKAS Pouch de Car,3.5
Paquete 66un,Pañales para Bebé HUGGIES Natural Care Talla G...,S/ 62.90 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,66.0,un,Pañales para Bebé HUGGIES Natural Care Talla G,62.9
Lata 290g,Comida para Perros RICOCAN Estofado Sabor a Ca...,S/ 6 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,290.0,g,Comida para Perros RICOCAN Estofado Sabor a Ca,6.0
Frasco 50g,Desodorante para mujer en Barra para Mujer REX...,S/ 13.90 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,50.0,g,Desodorante para mujer en Barra para Mujer REX,13.9
Frasco 230g,Tuco con Carne B&D Frasco 230g,S/ 7.30 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,230.0,g,Tuco con Carne B&D Frasco,7.3
Bandeja 500g,Ravioles de Carne IL PASTIFICIO Bandeja 500g,S/ 30.90 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,500.0,g,Ravioles de Carne IL PASTIFICIO Bandeja,30.9
Bolsa 85g,Sopa Ramen NISSIN Sabor Carne Bolsa 85g,S/ 2.20 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,85.0,g,Sopa Ramen NISSIN Sabor Carne Bolsa,2.2
Bandeja 500g,Ravioles DON ITALO De carne Bandeja 500Gr,S/ 32.50 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,500.0,g,Ravioles DON ITALO De carne Bandeja r,32.5
Pote 250g,Salsa de Carne DON ITALO Pote 250g,S/ 19.70 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,250.0,g,Salsa de Carne DON ITALO Pote,19.7
Lata 330g,Comida para Perros RICOCAN Babycan Carne en Tr...,S/ 5.90 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,330.0,g,Comida para Perros RICOCAN Babycan Carne en Tr,5.9
Paquete 60un,Pañales para Bebé PAMPERS Premium Care Talla X...,S/ 86.90 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,60.0,un,Pañales para Bebé PAMPERS Premium Care Talla X,86.9
Pack 2un,Packs Pañales PAMPERS Premium Care + Pañales P...,S/ 145.90 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,2.0,un,Packs Pañales PAMPERS Premium Care + Pañales P,145.9
Bolsa 3Kg,Comida para Perros RICOCAN Cachorros Razas Peq...,S/ 33.50 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,3.0,kg,Comida para Perros RICOCAN Cachorros Razas Peq,33.5
Vaso 51g,Sopa Instántanea de Carne AJINOMEN Vaso 51g,S/ 3.30 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,51.0,g,Sopa Instántanea de Carne AJINOMEN Vaso,3.3
Pouch 1un,Snacks para Perros DOGUITOS Medallones de Carn...,S/ 8.50 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,1.0,un,Snacks para Perros DOGUITOS Medallones de Carn,8.5
Pack 2un,Pack Pañales para bebé PAMPERS Premium Care T...,S/ 145.90 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,2.0,un,Pack Pañales para bebé PAMPERS Premium Care T,145.9
Paquete 4un,Carne de CerdoREDONDOS Sabor Oriental Paquete ...,S/ 22.50 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,4.0,un,Carne de CerdoREDONDOS Sabor Oriental Paquete,22.5
Pack 2un,Pack Pañales para Bebé HUGGIES Natural Care Ta...,S/ 115.90 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,2.0,un,Pack Pañales para Bebé HUGGIES Natural Care Ta,115.9
Paquete 180g,Galletas para Perros GNAWLERS en forma de Hues...,S/ 9.50 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,180.0,g,Galletas para Perros GNAWLERS en forma de Hues,9.5
Paquete 36un,Pañales PAMPERS Premium Care Talla P Paquete 3...,S/ 36.20 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,36.0,un,Pañales PAMPERS Premium Care Talla P Paquete 3,36.2
Caja 600g,Mini Hamburguesas OREGON FOODS Carne Angus Caj...,S/ 49.50 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,600.0,g,Mini Hamburguesas OREGON FOODS Carne Angus Caj,49.5
Bolsa 85g,Sopa instantánea MARUCHAN Carne Bolsa 85g,S/ 3.30 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,85.0,g,Sopa instantánea MARUCHAN Carne Bolsa,3.3
Bolsa 1Kg,Corazón de Vacuno Macer SCHILCAYO Refrigerado ...,S/ 31.99 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,1.0,kg,Corazón de Vacuno Macer SCHILCAYO Refrigerado,31.99
Tubo 100ml,Pasta Dental AQUAFRESH Complete Care Whitening...,S/ 9.60 un,plaza_vea,CARNE PARA GUISO DE VACUNO,2024-12-04 13:16:25.023501,100.0,ml,Pasta Dental AQUAFRESH Complete Care Whitening,9.6
