Market_name,Market_cat_name,Market_subcat_name,Product_name,Product_price,Product_description,Product_unit_type,Product_quantity,Product_type,Product_is_available,Product_branch,scrape_timestamp
Oxxo,Snacks Y Galletas,Snacks,crickets chifle sabor a leche de tigre,9.0,"Deliciosos chifles de hojuelas de plátano verde, aceite de oleína de palma, sal y saborizante de leche de tigre en polvo, azúcar, jengibre, dióxido de silicio, ideal para comer como snack en cualquier momento del día en compañía de tu bebida favorita.",gr,150.0,none,True,crickets,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Snacks,los cuates picante - generic brand - 45 g,1.0,LOS CUATES PICANTE 45G - Generic Brand - 45 g,gr,45.0,none,True,los cuates,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Snacks,crickets chifle sabor a leche de tigre,4.5,"Deliciosas hojuelas de plátano fritas con sabor a leche de tigre. Tradición, sabor y calidad.",gr,60.0,none,True,crickets,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Snacks,doritos tortillas de maíz queso atrevido 45gr ,3.3,"Deliciosos triángulos de maíz sabor a queso, ideales para compartir con familia y amigos en cualquier momento del día.",gr,45.0,none,True,doritos,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Snacks,cheesetris snack queso,5.9,Bolsa.,gr,140.0,none,True,cheese tris,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Snacks,pringles papa sola original,8.9,Pote,gr,104.0,none,True,pringles,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Snacks,inka chips papa crujientes sabor a queso y cebolla,8.9,"Comparte con la familia y amigos una deliciosa botana con Inka chips, elaborada con ingredientes de la mejor calidad y sin gluten, ideal para disfrutar en cualquier momento del día.",gr,135.0,none,True,inka chips,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Snacks,crickets chifle de plátano sabor leche de tigre,13.5,"Deliciosos chifles de hojuelas de plátano verde, aceite de oleína de palma, sal y saborizante de leche de tigre en polvo, azúcar, jengibre, dióxido de silicio, ideal para comer como snack en cualquier momento del día en compañía de tu bebida favorita.",gr,250.0,none,True,crickets,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Snacks,bizcocho chocman 33.5 g,1.0,BIZCOCHO CHOCMAN 33.5 G,gr,33.5,none,True,chocman,2024-12-06 21:20:35.352878
Oxxo,Snacks Y Galletas,Galletas,costa galleta gretel manjar,1.4,Galletas Manjar Gretel x 32 g,gr,32.0,none,True,gretel,2024-12-06 21:20:35.352878
