description,price,website,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
leche uht ninos chocolate gloria 180 ml,S/ 2.1 und,Oxxo,2024-12-04 13:49:36.258701,180.0,ml,leche uht ninos chocolate gloria,2.1
gloria leche mocaccino,S/ 3.5 und,Oxxo,2024-12-04 13:49:36.258701,320.0,ml,gloria leche mocaccino,3.5
leche concentrada laive 6.4 grasa,S/ 4.4 und,Oxxo,2024-12-04 13:49:36.258701,400.0,gr,leche concentrada laive 64% grasa,4.4
laive bebida de almendra,S/ 11.4 und,Oxxo,2024-12-04 13:49:36.258701,946.0,ml,laive bebida de almendra,11.4
gloria leche entera líquida,S/ 5.5 und,Oxxo,2024-12-04 13:49:36.258701,900.0,ml,gloria leche entera líquida,5.5
bonlé queso edam tajadas paquete,S/ 5.5 und,Oxxo,2024-12-04 13:49:36.258701,1.0,und,bonlé queso edam tajadas paquete,5.5
philadelphia queso crema untable original,S/ 11.9 und,Oxxo,2024-12-04 13:49:36.258701,150.0,gr,philadelphia queso crema untable original,11.9
laive queso pasteurizado edam,S/ 6.7 und,Oxxo,2024-12-04 13:49:36.258701,90.0,gr,laive queso pasteurizado edam,6.7
lays papas fritas artesanas alitas bbq,S/ 3.3 und,Oxxo,2024-12-04 13:49:36.255699,34.0,gr,lays papas fritas artesanas alitas bbq,3.3
inka chips papa jalapeño 135 g,S/ 8.9 und,Oxxo,2024-12-04 13:49:36.255699,135.0,gr,inka chips papa jalapeño,8.9
cheetos snack de maíz horneados con sabor a queso,S/ 10.0 und,Oxxo,2024-12-04 13:49:36.255699,200.0,gr,cheetos snack de maíz horneados con sabor a queso,10.0
inka chips papas crujientes sabor a bbq y cebolla caramelizada,S/ 8.9 und,Oxxo,2024-12-04 13:49:36.255699,135.0,gr,inka chips papas crujientes sabor a bbq y cebolla caramelizada,8.9
lays papas fritas artesanas sal marina,S/ 3.3 und,Oxxo,2024-12-04 13:49:36.255699,34.0,gr,lays papas fritas artesanas sal marina,3.3
los cuates snack sal,S/ 1.0 und,Oxxo,2024-12-04 13:49:36.255699,43.0,gr,los cuates snack sal,1.0
inka chips papas crujientes sal de mar,S/ 8.9 und,Oxxo,2024-12-04 13:49:36.256702,135.0,gr,inka chips papas crujientes sal de mar,8.9
cheese tris palito sabor queso,S/ 3.3 und,Oxxo,2024-12-04 13:49:36.256702,44.0,gr,cheese tris palito sabor queso,3.3
karinto snack chifles salados,S/ 1.5 und,Oxxo,2024-12-04 13:49:36.256702,34.0,gr,karinto snack chifles salados,1.5
