description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric
Queso Mozzarella Delice Bocconcini Fior di Latte 530g,S/ 18.20,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,530.0,g,Queso Mozzarella Delice Bocconcini Fior di Latte,18.2
Queso Mozzarella Plusa x kg,S/ 79.90 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Queso Mozzarella Plusa,79.9
Queso Maduro Mozzarella en Palitos Bolsa 283 gr,S/ 21.04,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,283.0,g,Queso Maduro Mozzarella en Palitos Bolsa r,21.04
Romero Fresco Ecologic 30g,S/ 3.30,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,30.0,g,Romero Fresco Ecologic,3.3
Queso Mozzarella Laive x kg,S/ 57.90 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Queso Mozzarella Laive,57.9
Tofu de seda firme Morinaga caja 349 g,S/ 12.90,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,349.0,g,Tofu de seda firme Morinaga caja,12.9
Lenguado Entero x kg,S/ 57.90 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Lenguado Entero,57.9
Queso Mozzarella y Cheddar en Palitos Bolsa 283 gr,S/ 21.44,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,283.0,g,Queso Mozzarella y Cheddar en Palitos Bolsa r,21.44
Queso de Soya Wong Tofu Pote 500 g,S/ 21.90,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,500.0,g,Queso de Soya Wong Tofu Pote,21.9
Queso Cabaña Piamonte Pote 250 gr,S/ 16.00,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,250.0,g,Queso Cabaña Piamonte Pote r,16.0
Queso Bocconcini Mini Fior di Latte Duman Doypack 125 g,S/ 10.16,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,125.0,g,Queso Bocconcini Mini Fior di Latte Duman Doypack,10.16
Chorizo Parrillero Fresco Braedt Paquete 500 g,S/ 15.50,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,500.0,g,Chorizo Parrillero Fresco Braedt Paquete,15.5
Pejerrey Limpio x kg,S/ 33.90 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Pejerrey Limpio,33.9
Queso Fresco Sin Lactosa Light Duman x kg,S/ 49.60 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Queso Fresco Sin Lactosa Light Duman,49.6
Jabón Líquido Antibacterial Aval Fresco Eucalipto 800ml,S/ 13.20,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,800.0,ml,Jabón Líquido Antibacterial Aval Fresco Eucalipto,13.2
Trucha Entera Extra Eviscerada x kg,S/ 28.90 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Trucha Entera Extra Eviscerada,28.9
Queso de Cabra Fresco Berd Milch 250g,S/ 18.50,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,250.0,g,Queso de Cabra Fresco Berd Milch,18.5
Jabón Líquido Antibacterial Aval Fresco Eucalipto 1L,S/ 15.90,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,l,Jabón Líquido Antibacterial Aval Fresco Eucalipto,15.9
Cojinova Entera x kg,S/ 30.90 x kg,wong,REFRESCO ENVASADO (FLUIDO),2024-12-05 19:33:37.135050,1.0,kg,Cojinova Entera,30.9
