CODIGO,PRODUCTO,terminos,funcion_tratamiento
117020515,PEPINILLO,PEPINILLO PEPINILLOS,alguno_de_los_terminos_presentes_al_inicio
116010875,PEPINO,PEPINO,al_principio_de_la_descripcion
116010877,PERA DE AGUA,,
113010177,PERICO,PERICO,todos_terminos_presentes
112010230,PIERNA (CARNE DE CERDO),PIERNA DE CERDO,al_principio_de_la_descripcion
112020209,PIERNA DE POLLO,PIERNA DE POLLO,al_principio_de_la_descripcion
116010881,PIÑA,PIÑA,al_principio_de_la_descripcion
116010603,PLÁTANO BISCOCHO,PLÁTANO BIZCOCHO,todos_terminos_presentes
116010609,PLÁTANO DE LA ISLA,PLÁTANO ISLA,todos_terminos_presentes
116010612,PLÁTANO DE SEDA,PLÁTANO DE SEDA,todos_terminos_presentes
116010627,PLÁTANO VERDE - INGUIRI O BELLACO,,
112020212,POLLO EVISCERADO,pollo sin Menudencia,todos_terminos_presentes
119050139,POP CORN (BOCADITOS),POP CORN,al_principio_de_la_descripcion
117030130,PORO,PORO,al_principio_de_la_descripcion
121040103,PRODUCTO ACHOCOLATADO,CHOCOLATADA,todos_terminos_presentes
114030306,QUESO EDAM,QUESO EDAM,al_principio_de_la_descripcion
114030106,QUESO FRESCO DE VACA,QUESO FRESCO,todos_terminos_presentes
114030312,QUESO MANTECOSO,QUESO MANTECOSO,todos_terminos_presentes
114030318,QUESO PARIA,QUESO PARIA,todos_terminos_presentes
111020318,QUINUA ENTERA,QUINUA,al_principio_de_la_descripcion
122020109,REFRESCO ENVASADO (FLUIDO),REFRESCO,todos_terminos_presentes
119020102,SAL,SAL,al_principio_de_la_descripcion
112010336,SANCOCHADO DE VACUNO,SANCOCHADO,al_principio_de_la_descripcion
116010886,SANDÍA,SANDÍA,al_principio_de_la_descripcion
119020309,SAZONADORES CONCENTRADOS,SAZONADOR,todos_terminos_presentes
119030527,SILLAO,SILLAO,todos_terminos_presentes
119040306,SOPAS (CONCENTRADAS / INSTANTÁNEAS),,
121020109,TÉ NEGRO FILTRANTE,,
113010255,TILAPIA - PESCA CONTINENTAL - DE RÍO,,
112040180,TOCINO AHUMADO,TOCINO AHUMADO,todos_terminos_presentes
117020206,TOMATE ITALIANO O MARSANO,TOMATE ITALIANO,todos_terminos_presentes
111050315,TORTA (ENTERA),TORTA,al_principio_de_la_descripcion
111050188,TOSTADAS (MOLDE),TOSTADA TOSTADAS,alguno_de_los_terminos_presentes_al_inicio
111020203,TRIGO MORÓN,,
113040112,TROZO DE PESCADO EN CONSERVA,TROZOS,al_principio_de_la_descripcion
113010257,TRUCHA - PESCA CONTINENTAL - DE RÍO,,
116010895,TUNA,TUNA,al_principio_de_la_descripcion
116010701,UVA BLANCA,,
116010707,UVA NEGRA,,
117020624,VAINITA VERDE (AMERICANA),VAINITA,todos_terminos_presentes
119040430,VEGETALES SANCOCHADOS,,
117030206,VERDURA PICADA,VERDURAS PICADAS,todos_terminos_presentes
114020106,YOGUR DE LECHE DESCREMADA / PARCIALMENTE DESCREMADA,,
114020109,YOGUR DE LECHE ENTERA,,
114020112,YOGUR MIXTO EN VASO,YOGURT,al_principio_de_la_descripcion
117060302,YUCA,YUCA,al_principio_de_la_descripcion
117030136,ZANAHORIA,ZANAHORIA,al_principio_de_la_descripcion
117020312,ZAPALLO MACRE,,
